"Tipologia";"Nº de Registo";"Nome";"Marcas";"Categoria";"Estado da Classificação";"Capacidade";"Número de Unidades de Alojamento";"Número de Unidades de Alojamento com Mobilidade Reduzida";"Localização (Endereço)";"Localização (Código Postal)";"Localização (Localidade)";"Localização (Concelho)";"Localização (Distrito)";"Localização (Latitude)";"Localização (Longitude)";"Contactos (Telefone)";"Contacto (Fax)";"Contacto (Email)";"Contacto (Página Internet)";"DRT/ERT";"NUT II";"NUT III";"Periodos de Encerramento";"Utilidade Turística";"Imóvel Classificado de Interesse";"Número de Restaurantes";"Salas de reunião";"Capacidade das salas de reunião";"SPA";"Piscinas Exteriores";"Piscinas Interiores";"Ténis";"Ginásio";"Golfe";"Outras";"Tipo de Certificação Qualidade";"Tipo de Certificação Ambiental";"Entidade Exploradora";"Entidades Públicas Financiadoras"
"Estabelecimento Hoteleiro - Hotel";"554";"Hotel Vila Galé Tavira";"Vila Galé";"****";"Classificado em auditoria";"536";"268";"3";"Rua 4 de Outubro";"8800-362";"Tavira";"Tavira";"Faro";"37.123560";"-7.646130";"281329900";"281329950";"tavira@vilagale.pt";"www.vilagale.pt";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Sim";"---";"2";"Sim";"622";"Sim";"Sim";"Sim";"Não";"Sim";"Não";"Não";;;"VILA GALE SOC EMPREENDIMENTOS TURISTICOS SA";"Turismo de Portugal, I.P., "
"Estabelecimento Hoteleiro - Hotel";"3283";"Hotel Vila Luena";;"***";"Classificado em auditoria";"24";"14";"1";"Praça da Republica, Nº67";"4730-732";"Vila Verde";"Vila Verde";"Braga";"41.650653";"-8.435880";"253311432";"253322827";"info@vilaluena.com";"www.vilaluena.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Cávado";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Abel Nogueira Pimenta &amp; Irmão, Lda.";
"Estabelecimento Hoteleiro - Hotel";"1333";"Hotel Vila Marita";"residencial vila marita lda";"**";"Classificado em auditoria";"36";"18";"0";"rua vila marita";"4805-343";"Ponte Gmr";"Guimarães";"Braga";"41.466247";"-8.324110";"253556997";"253556996";"vilamarita@sapo.pt";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Ave";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"residencial vila marita lda";
"Estabelecimento Hoteleiro - Hotel";"64";"Hotel Vila Park";;"****";"Classificado em auditoria";"158";"79";"7";"Avenida de Sines - Apartado 146, Vila Nova de Santo André";"7501-909";"VILA NOVA DE SANTO ANDRÉ";"Santiago do Cacém";"Setúbal";"38.052586";"-8.786917";"269750100";"269750119";"info@vilapark.com";"www.vilapark.com";"TURISMO DO ALENTEJO LITORAL";"Alentejo";"Alentejo Litoral";;"Sim";"---";"2";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;"ISO 14001, Chave Verde e Eco-Hotel";"LITOALENTEJO SOCIEDADE DE HOTELARIA DO LITORAL ALENTEJANO, LDA.";"Turismo de Portugal, I.P., "
"Estabelecimento Hoteleiro - Hotel";"3067";"HOTEL VILA RECIFE";"VILA RECIFE";"**";"Classificado em auditoria";"175";"91";"1";"RUA MIGUEL BOMBARDA, N12";"8200-158";"Albufeira";"Albufeira";"Faro";"37.176504";"-8.202869";"289583740";"289587182";"monicabarret@gmail.com";"www.grupofbarata.com/vilarecife/hotel-overv";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"2016-11-06-&gt;2017-04-06 Ano em causa:2016, ";"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"M?NICA &amp; BARRETO S.A.";
"Estabelecimento Hoteleiro - Hotel-apartamento";"4596";"Hotel Vila Ventura";;"***";"Classificado em auditoria";"42";"21";"1";"Caminho Cais da Oliveira";"9125-028";"Caniço";"Santa Cruz";"Ilha da Madeira";;;"291934611";"291934680";"info@villa-ventura.com";"www.villa-ventura.com";"Secretaria Regional do Turismo e Transportes - RA Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"VILA VENTURA ACTIVIDADES TURISTICAS S A";
"Estabelecimento Hoteleiro - Hotel";"1573";"Hotel Vila Vita Parc";"Vila Vita Parc";"*****";"Classificado em auditoria";"204";"102";"0";"Rua Anneliese Pohl-Alporchinhos-Porches";"8400-450";"Porches";"Lagoa";"Faro";"37.126686";"-8.401388";"282310107";"282320332";"msilva@vilavitaparc.com";;"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"0";"Sim";"0";"Sim";"Sim";"Sim";"Não";"Sim";"Não";"Não";;;"VILA VITA PORTUGAL ACTIVIDADES TURISTICAS HOTELEI";
"Estabelecimento Hoteleiro - Hotel";"3742";"Hotel Vilazul";"Vilazul";"**";"Classificado em auditoria";"36";"18";"0";"Calçada da Baleia nº10";"2655-238";"Ericeira";"Mafra";"Lisboa";"38.961916";"-9.417015";"261860000";"261862927";"Geral@hotelvilazul.com";"www.Hotelvilazul.com";"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Grande Lisboa";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Hotel Vilazul";
"Estabelecimento Hoteleiro - Hotel";"4273";"Hotel Villa Aljustrel";;"***";"Classificado em auditoria";"65";"33";"1";"Rua General Humberto Delgado, nº5";"7600-099";"Aljustrel";"Aljustrel";"Beja";"37.878859";"-8.163292";"284600800";"284600801";"info@hotelaljustrel.com";"www.hotelaljustrel.com";"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Baixo Alentejo";;"Não";"---";"2";"Sim";"59";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"ALENTREL S A";"Outra, "
"Estabelecimento Hoteleiro - Hotel";"3396";"Hotel Villa Batalha";"Hotel Villa Batalha";"****";"Classificado em auditoria";"186";"93";"1";"Rua D. Duarte I, nº 248";"2440-415";"Batalha";"Batalha";"Leiria";"39.662330";"-8.823705";"244240400";"244240499";"geral@hotelvillabatalha.pt";"www.hotelvillabatalha.pt";"TURISMO DE LEIRIA-FÁTIMA";"Centro (P)";"Pinhal Litoral";;"Não";"---";"2";"Sim";"250";"Sim";"Não";"Sim";"Sim";"Sim";"Sim";"Não";;;"INVESTEFORMA COMPRA E VENDA PROPRIEDADES S A";"Turismo de Portugal, I.P., "
"Estabelecimento Hoteleiro - Hotel";"699";"Hotel Villa Guimarães Centro";"Stay Hotels";"****";"Classificado em auditoria";"81";"47";"1";"Avenida D.João IV , nº.631 - São Sebastião";"4810-532";"Guimarães";"Guimarães";"Braga";"41.436678";"-8.291806";"253 421 440";;"guimaraes@stayhotels.pt";"www.stayhotels.pt";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Ave";;"Não";"---";"1";"Sim";"60";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Just Stay Hotels, S.A.";
"Estabelecimento Hoteleiro - Hotel";"408";"HOTEL VINCCI BAIXA";"VINCCI HOTELES";"****";"Classificado em auditoria";"117";"66";"1";"Rua do Comercio 32-38 - Sao Juliao 47-57";"1100-150";"Lisboa";"Lisboa";"Lisboa";"38.709198";"-9.135797";"218803190";"218866081";"baixa@vinccihoteles.com";"www.vinccihoteles.com";"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Grande Lisboa";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"ALTAI HOTELES S L SUCURSAL EM PORTUGAL";
"Estabelecimento Hoteleiro - Hotel";"6338";"Hotel Vincci Liberdade";"Vincci Liberdade";"****";"Classificado em auditoria";"166";"83";"1";"Rua Rosa Araujo";"1250-195";"Lisboa";"Lisboa";"Lisboa";;;"213502600";"213502601";"liberdade@vinccihoteles.com";"www.vinccihoteles.com";"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Grande Lisboa";;"Não";"---";"1";"Sim";"60";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"LUSOVINCCI UNIPESSOAL LDA";
"Estabelecimento Hoteleiro - Hotel";"434";"Hotel Vip Executive Arts";"Vip Hotels";"****";"Classificado em auditoria";"600";"300";"2";"Av. D. João II, Lote 1.18";"1998-028";"Lisboa";"Lisboa";"Lisboa";"38.707054";"-9.135488";"210020400";"210020401";"hotelarts@viphotels.com";"www.viphotels.com";"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Grande Lisboa";;"Sim";"---";"1";"Sim";"165";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"SOCIEDADE HOTELEIRA OLIATLANTICO S A";
"Estabelecimento Hoteleiro - Hotel";"3060";"Hotel Vip Executive Diplomático";"Vip Executive";"****";"Classificado em auditoria";"176";"90";"0";"Rua Castilho n.º 74";"1250-071";"Lisboa";"Lisboa";"Lisboa";"38.721188";"-9.155302";"213839020";"213862155";"carla.cordeiro@viphotels.com";"www.viphotels.com";"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Grande Lisboa";;"Não";"---";"1";"Sim";"200";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"ORGANITEL ORGANIZACOES HOTELEIRAS SA";"Outra, "
"Estabelecimento Hoteleiro - Hotel";"701";"Hotel Vip Executive Santa Iria";"Vip Hotels";"****";"Classificado em auditoria";"248";"124";"1";"Estrada Nacional 10, n.º1260";"2694-001";"Santa Iria de Azóia";"Loures";"Lisboa";"38.808546";"-9.095133";"210032300";"210032301";"hotelsantairia@viphotels.com";"www.viphotels.com";"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Grande Lisboa";;"Sim";"---";"2";"Sim";"600";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"IRIA HOTEIS - HOTELARIA E TURISMO LDA";"Turismo de Portugal, I.P., "
"Estabelecimento Hoteleiro - Hotel";"1363";"Hotel Vip Executive Zurique";"Hotel Vip Executive Zurique";"****";"Classificado em auditoria";"504";"252";"2";"Rua Ivone Silva, 18";"1050-124";"Lisboa";"Lisboa";"Lisboa";"38.743172";"-9.150152";"00351217814000";"00351217937290";"hotelzurique@viphotels.com";"www.viphotels.com";"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Grande Lisboa";;"Não";"---";"3";"Sim";"740";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"EMPREENDIMENTOS HOTELEIROS QUINTA DO FERRO LDA";
"Estabelecimento Hoteleiro - Hotel";"911";"Hotel Vip Inn Berna";"VIPHOTELS";"***";"Classificado em auditoria";"468";"240";"2";"Av António Serpa 13";"1069-199";"Lisboa";"Lisboa";"Lisboa";"38.742975";"-9.148193";"00351217814300";"00351217936278";"hotelberna@viphotels.com";"www.viphotels.com";"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Grande Lisboa";;"Sim";"---";"1";"Sim";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"SOC HOTELEIRA CAMPO PEQUENO LDA";
"Estabelecimento Hoteleiro - Hotel";"1026";"Hotel Vip Inn Miramonte";"Hotel Vip Inn Miramonte";"**";"Classificado em auditoria";"182";"91";"0";"Avenida do Atlântico, 155";"2705-287";"Colares";"Sintra";"Lisboa";"38.815612";"-9.463924";"219288200";"219291480";"hotelmiramonte@viphotels.com";"www.viphotels.com";"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Grande Lisboa";;"Não";"---";"2";"Sim";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"SOC HOTELEIRA DE COLARES LDA";
"Estabelecimento Hoteleiro - Hotel";"1051";"HOTEL VISTA BELA DO GERES";"ESTALAGEM VISTA BELA DO GERES";"***";"Classificado em auditoria";"36";"16";"0";"OUTEIRO";"5470-332";"Outeiro Mtr";"Montalegre";"Vila Real";"41.787365";"-7.944315";"276560120";"276560121";"estalagem@vistabela.com";"www.vistabela.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"---";"2";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"ANTONIO JOAQUIM DIAS DE CASTRO";
"Estabelecimento Hoteleiro - Hotel";"1126";"Hotel Vitória";"Hotel Vitória";"**";"Classificado em auditoria";"34";"19";"0";"Rua Segundo Visconde de Santarém, 19 e 21";"2005-365";"Santarém";"Santarém";"Santarém";"39.232387";"-8.688593";"243309130";"243328202";"hotelvitoriasantarem@gmail.com";"www.hotelvitoria.com.pt";"TURISMO DE LISBOA E VALE DO TEJO";"Alentejo";"Lezíria do Tejo";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"CUNHA DIAS (HOTEL), LDA";
"Estabelecimento Hoteleiro - Hotel";"3731";"Hotel Vitória";;"**";"Classificado em auditoria";"40";"21";"0";"Rua da Sota, 9";"3000-392";"Coimbra";"Coimbra";"Coimbra";"40.208718";"-8.431112";"239824049";"239821303";"geral@hotelvitoria.pt";"www.hotelvitoria.pt";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Baixo Mondego";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"BERNARDINO E BAPTISTA LDA";
"Estabelecimento Hoteleiro - Hotel";"4449";"HOTEL VOUGA";"HOTEL VOUGA";"***";"Classificado em auditoria";"94";"48";"1";"TERMAS DE S PEDRO O SUL";"3660-692";"Várzea Sps";"São Pedro do Sul";"Viseu";"40.740390";"-8.092374";"232723063";"232723500";"info@hotelvouga.com";"www.hotelvouga.com";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Dão-Lafões";;"Não";"---";"0";"Sim";"150";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"AMELIA MARQUES, LDA";
"Estabelecimento Hoteleiro - Hotel";"6121";"Hotel White Waters";"Hotel White Waters";"***";"Classificado em auditoria";"40";"20";"0";"Praceta 25 de Abril 34";"9200-084";"Machico";"Machico";"Ilha da Madeira";;;"964470461";"291969381";"info@hotelwhitewaters.com";;"Secretaria Regional do Turismo e Transportes - RA Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"RODRIGUES DE PÃO &amp; SILVA - EXPLORAÇÃO HOTELEIRA LDA.";
"Estabelecimento Hoteleiro - Hotel";"1327";"Hotel Yellow Lagos Meia Praia";"Hotel Yellow Lagos Meia Praia";"*****";"Classificado em auditoria";"440";"220";"0";"Estrada da Meia Praia - Lagos";"8600-315";"Lagos";"Lagos";"Faro";"37.114991";"-8.655881";"282244000";"282244099";"reservas.lagos@yellowhotels.pt";"www.yellowhotels.pt";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"2015-11-01-&gt;2016-04-30 Ano em causa:2015, ";"Não";"---";"5";"Sim";"180";"Sim";"Sim";"Sim";"Não";"Sim";"Não";"Não";;;"YELLOWTEL - HOTELARIA E TURISMO S A";
"Estabelecimento Hoteleiro - Hotel";"860";"Hotel Zenit Lisboa";"Zenit Hoteles";"****";"Classificado em auditoria";"154";"86";"1";"Av 5 de Outubro nº11";"1050-047";"Lisboa";"Lisboa";"Lisboa";"38.734608";"-9.149766";"21 310 22 00";"21 310 22 09";"dirlisboa@zenithoteles.com";"www.zenithoteles.com";"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Grande Lisboa";;"Não";"de época";"2";"Sim";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"CHB ACTIVIDADES TURISTICAS SA";"Turismo de Portugal, I.P., "
"Estabelecimento Hoteleiro - Hotel";"97";"Hotel Zodíaco";"Hotel Zodiaco";"***";"Classificado em auditoria";"120";"60";"0";"Fonte Santa";"8125-618";"Quarteira";"Loulé";"Faro";"37.071118";"-8.078703";"289-381420";"289381425";"mail@hotel-zodiaco.com";"www.hotel-zodiaco.com";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"2010-12-19-&gt;2011-01-22 Ano em causa:2010, ";"Não";"---";"1";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Hotel Zodiaco, Lda.";
"Estabelecimento Hoteleiro - Hotel-apartamento";"1532";"Hotel-Apartamento Alto da Colina II";;"****";"Classificado em auditoria";"84";"42";"1";"Santa Eulália - Apartado 866";"8200-374";"Albufeira";"Albufeira";"Faro";;;"289540230";"289540219";"alfagar@alfagar.com";"www.altodacolina.com";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"4";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Alto da Colina - Construções,  SA";
"Estabelecimento Hoteleiro - Hotel-apartamento";"3068";"Hotel-Apartamento Belmar &amp; SPA";;"****";"Classificado em auditoria";"340";"109";"1";"Porto de Mós";"8600-513";"Lagos";"Lagos";"Faro";"37.086671";"-8.685304";"282771800";"282322881";"heitor.tomas@oceanicogroup.com";"www.belmarresort.com";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"0";"Não";"0";"Sim";"Sim";"Sim";"Sim";"Sim";"Não";"Não";;;"Oceânico Lusoirlandês Investimentos Imobiliários";
"Estabelecimento Hoteleiro - Hotel-apartamento";"1193";"Hotel-Apartamento Dom Pedro Garajau";"Dom Pedro Hotels";"***";"Por reconverter";"544";"272";"0";"Estrada do Garajau, 161";"9125-067";"Caniço";"Santa Cruz";"Ilha da Madeira";"32.647036";"-16.839724";"291969500";;"carla.ventura@dompedro.com";;"Secretaria Regional do Turismo e Transportes - RA Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";;"Sim";"---";"3";"Não";"0";"Não";"Sim";"Sim";"Não";"Não";"Não";"Não";;;"DOM PEDRO INVESTIMENTOS TURISTICOS SA";
"Estabelecimento Hoteleiro - Hotel-apartamento";"918";"HOTEL-APARTAMENTO GERÊS RIBEIRO";"HOTEL-APARTAMENTO GERÊS RIBEIRO";"***";"Classificado em auditoria";"126";"40";"0";"AVENIDA MANUEL FRANCISCO DA COSTA";"4845-067";"Gerês";"Terras de Bouro";"Braga";"41.726091";"-8.162764";"253900060";"253391112";"infohoteis@ehgeres.com";"www.ehgeres.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Cávado";;"Sim";"---";"2";"Não";"60";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"EMPRESA HOTELEIRA GERES LDA";
"Estabelecimento Hoteleiro - Hotel-apartamento";"593";"Hotel-Apartamento Luna Alvor Village";"Luna Hotels &amp; Resorts";"****";"Classificado em auditoria";"140";"70";"1";"Quinta Nova, Sítio da Dourada, Alvor, Portimão";"8500-032";"Alvor";"Portimão";"Faro";"37.135824";"-8.586920";"282402250";"282402259";"alvorvillage@lunahoteis.com";"www.lunahoteis.com";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"2013-10-31-&gt;2014-05-01 Ano em causa:2013, 2014-11-03-&gt;2015-04-23 Ano em causa:2014, 2015-11-01-&gt;2016-04-24 Ano em causa:2015, ";"Não";"---";"1";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"STARHOTEIS SOCIEDADE HOTELEIRA LDA.";
"Estabelecimento Hoteleiro - Hotel-apartamento";"947";"Hotel-Apartamento Mirachoro II **";"Mirachoro";"**";"Classificado em auditoria";"190";"95";"1";"Urb. Alto do Quintão, Lote 64/67";"8500-833";"Portimão";"Portimão";"Faro";"37.127459";"-8.545990";"282460880";"282460889";"mirachoro2@mail.telepac.pt";"www.hoteismirachoro.com";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"1";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Alto do Quintão Hoteis e Apartamentos, Lda";
"Estabelecimento Hoteleiro - Hotel";"5422";"HS Beach Hotel Milfontes";"HS Beach Hotel Milfontes";"***";"Classificado em auditoria";"54";"27";"1";"Avenida Marginal";"7645-272";"Vila Nova de Milfontes";"Odemira";"Beja";;;"283990072";;"geral@hsmilfontesbeach.com";"www..hsmilfontesbeach.com";"TURISMO DO ALENTEJO LITORAL";"Alentejo";"Alentejo Litoral";;"Não";"---";"1";"Sim";"0";"Não";"Sim";"Não";"Não";"Sim";"Não";"Não";;;"Duna Parque - Gestão de Empreendimentos Turísticos, S.A.";
"Estabelecimento Hoteleiro - Hotel";"5569";"HSC - Hotel Santa Catarina";;"**";"Por reconverter";"26";"16";"0";"Rua Doutor Luis de Almeida e Albuquerque, 6";"1200-154";"Lisboa";"Lisboa";"Lisboa";;;"213461009";;"hotelsantacatarina06@gmail.com";;"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Grande Lisboa";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"BEST SUMMER LDA";
"Estabelecimento Hoteleiro - Hotel";"313";"Ibis Styles Lisboa Embaixador";;"***";"Classificado em auditoria";"160";"80";"0";"Av. Duque de Loulé, 73";"1050-088";"Lisboa";"Lisboa";"Lisboa";"38.727137";"-9.146253";"213194000";"213557596";"HA146-GM@accor.com";"www.embaixadorhotel.com";"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Grande Lisboa";;"Não";"---";"2";"Sim";"110";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Dule Hotel, S.A.";
"Estabelecimento Hoteleiro - Hotel";"4681";"IC MONTIJO MOTEL";"IC MONTIJO MOTEL";"**";"Classificado em auditoria";"104";"52";"1";"Rua da Boa Esperança, Bairro do Charqueirão";"2870-890";"Montijo";"Montijo";"Setúbal";;;"915190824";;"gaviotaclass@hotmail.com";"motel ic 32";"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Península de Setúbal";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Gaviota Class Investimentos Turisticos e Hoteleiros, Lda.";
"Estabelecimento Hoteleiro - Hotel";"4390";"Idanha Natura Empreendimentos Hoteleiros, LDA";;"***";"Classificado em auditoria";"100";"50";"2";"Estrada Nacional nº240";"6060-261";"Ladoeiro";"Idanha-a-Nova";"Castelo Branco";"39.924752";"-7.241590";"277927130";"977927515";"idanhahotel@gmail.com";"www.idanhanatura.pt";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Beira Interior Sul";;"Não";"---";"1";"Sim";"100";"Sim";"Sim";"Não";"Sim";"Não";"Não";"Sim";;;"Idanha Natura - Empreendimentos Hoteleiros, Lda";"Turismo de Portugal, I.P., "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"1611";"Imani Country House";"Imani";;"Classificado em auditoria";"14";"7";"1";"Quinta de Montemuro - Guadalupe";"7000-223";"N Senhora de Guadalupe";"Évora";"Évora";"38.572184";"-8.021231";"925613847";;"info@imani.pt";"www.imani.pt";"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Alentejo Central";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"EGGSHELL LDA";"Programa de Desenvolvimento Rural (PRODER), "
"Estabelecimento Hoteleiro - Hotel";"58";"Imperhotel";"Imperhotel";"***";"Classificado em auditoria";"72";"36";"1";"Avenida Beato Nuno";"2495-401";"Fátima";"Ourém";"Santarém";"39.632395";"-8.665869";"249539720";"249539729";"geral@imperhotel.com";"www.imperhotel.com";"TURISMO DE LEIRIA-FÁTIMA";"Centro (P)";"Médio Tejo";;"Não";"---";"1";"Sim";"60";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Imperturismo Empreendimentos Turisticos e Hoteleiros, S.A.";
"Estabelecimento Hoteleiro - Hotel";"633";"Imperio Hotel";;"**";"Classificado em auditoria";"66";"33";"0";"Rua Jose Vasques Osorio, 8";"5050-280";"Peso da Régua";"Peso da Régua";"Vila Real";"41.158980";"-7.785015";"254320120";;"info@residencialimperio.com";;"TURISMO DO DOURO";"Norte";"Douro";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"DOUROTEL, ACTIVIDADES HOTELEIRAS LDA.";
"Estabelecimento Hoteleiro - Hotel";"4292";"INATEL Albufeira";"INATEL Albufeira";"***";"Classificado em auditoria";"434";"217";"1";"Av. D. Henrique";"8201-862";"Albufeira";"Albufeira";"Faro";"37.087709";"-8.236474";"289 599300/1";"289 599340";"inatel.albufeira@inatel.pt";"www.inatel.pt";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"2";"Sim";"0";"Não";"Sim";"Não";"Sim";"Não";"Não";"Não";;;"Fundação INATEL";
"Estabelecimento Hoteleiro - Hotel";"4087";"INATEL Albufeira Praia Hotel 3*";"INATEL Albufeira Praia Hotel 3*";"***";"Classificado em auditoria";"220";"110";"0";"Av. Infante D. Henrique, Albufeira";"8200-261";"Albufeira";"Albufeira";"Faro";"37.086038";"-8.243684";"289 599 300/1";"289 599 340";"inatel.albufeira@inatel.pt";"www.inatel.pt";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Fundação INATEL";
"Estabelecimento Hoteleiro - Hotel";"3750";"INATEL Castelo de Vide Jardim";;"***";"Classificado em auditoria";"40";"21";"0";"Rua Sequeira Sameiro, n.º 6";"7320-138";"Castelo de Vide";"Castelo de Vide";"Portalegre";"39.413750";"-7.453675";"245900200";"245900240";"inatel.cvide@inatel.pt";"www.inatel.pt";"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Alto Alentejo";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Fundação INATEL";
"Estabelecimento Hoteleiro - Hotel";"3776";"INATEL Castelo de Vide São Paulo";"INATEL Castelo de Vide São Paulo";"**";"Classificado em auditoria";"32";"16";"0";"Rua Alexandre Herculano";"7320-114";"Castelo de Vide";"Castelo de Vide";"Portalegre";"39.413871";"-7.455044";"245900200";"245900240";"inatel.cvide@inatel.pt";"www.inatel.pt";"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Alto Alentejo";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Fundação INATEL";
